Symbols,Score,min_ranking,median_ranking
MIR649,0.9735985533453888,442.0,19645.0
OR5T3,0.9731852234564712,20.0,19215.0
MIR199B,0.9730302247481271,417.0,19609.0
FCGR2C,0.9729268922758977,80.0,19270.0
MIR410,0.9726685610953242,404.0,19589.0
MIR98,0.9724618961508654,345.0,19526.0
MIRLET7G,0.9721518987341772,348.0,19523.0
CFAP99,0.9721002324980625,98.0,19272.0
VN1R5,0.9719969000258332,516.0,19688.0
MIR577,0.9717902350813743,476.0,19644.0
MIR495,0.9717385688452597,425.0,19592.0
RNF224,0.9715835701369155,28.0,19192.0
MIR563,0.9715319039008008,525.0,19688.0
TNRC17,0.9713769051924567,572.0,19732.0
COX7A2P2,0.9712735727202273,274.0,19432.0
SEPTIN2,0.9697235856367864,376.0,19504.0
MIR660,0.9693619219839835,523.0,19644.0
MIR498,0.969258589511754,488.0,19607.0
MIR21,0.9691552570395247,409.0,19526.0
MIR506,0.9691552570395247,475.0,19592.0
BAGE,0.9682769310255748,422.0,19522.0
RRN3P1,0.9681735985533454,436.0,19534.0
MIR519E,0.9680185998450013,550.0,19645.0
MIR151A,0.9677602686644278,538.0,19628.0
MIR429,0.9673986050116249,443.0,19526.0
C22ORF46,0.9672952725393955,192.0,19273.0
MIR631,0.9669852751227073,598.0,19673.0
C6ORF132,0.9669336088865926,36.0,19110.0
MIR373,0.9668819426504779,516.0,19589.0
MIR934,0.9667786101782485,584.0,19655.0
SNORA54,0.9667786101782485,617.0,19688.0
MIR28,0.9659519504004134,552.0,19607.0
MIR765,0.965331955567037,566.0,19609.0
ATP6V1G2-DDX39B,0.9652802893309222,462.0,19504.0
RPS26P11,0.9651252906225781,487.0,19526.0
MIR588,0.9644536295530871,619.0,19645.0
MIR608,0.9640919659002841,618.0,19637.0
MIR208B,0.9640919659002841,590.0,19609.0
MIR888,0.9640402996641695,618.0,19636.0
DAZ1,0.9635236373030225,379.0,19387.0
MIR29A,0.9634719710669077,519.0,19526.0
MIR509-3,0.9634203048307931,616.0,19622.0
MIR663A,0.9633686385946784,633.0,19638.0
MIR593,0.963265306122449,649.0,19652.0
MIR600,0.962748643761302,595.0,19588.0
PMS2P11,0.9622836476362697,575.0,19559.0
MIR935,0.9620769826918109,627.0,19607.0
MIRLET7I,0.9620253164556962,547.0,19526.0
CCNQP1,0.961715319039008,763.0,19736.0
MIR212,0.9616119865667786,632.0,19603.0
OR8U8,0.9615086540945492,620.0,19589.0
OR5B2,0.9614053216223198,163.0,19130.0
PDR,0.9613019891500905,621.0,19586.0
MIR210,0.9611469904417463,161.0,19123.0
MIR592,0.9607853267889435,689.0,19644.0
MIR29C,0.9607853267889435,571.0,19526.0
OR9I1,0.960681994316714,136.0,19089.0
MIR379,0.9604753293722552,696.0,19645.0
MIR132,0.9601653319555671,661.0,19604.0
SSPOP,0.9601136657194523,619.0,19561.0
TP53TG1,0.9599586670111082,618.0,19557.0
MIR328,0.9596486695944201,674.0,19607.0
MIR623,0.959493670886076,731.0,19661.0
MIR486-1,0.9593386721777318,682.0,19609.0
MIR196B,0.9592870059416172,681.0,19607.0
CENPX,0.9591836734693877,60.0,18984.0
MIR924,0.9587703435804702,739.0,19655.0
RPS4Y1,0.9583053474554378,201.0,19108.0
MIR485,0.9583053474554378,730.0,19637.0
LINC01619,0.9582536812193232,246.0,19152.0
MAGEA9,0.9580986825109791,591.0,19494.0
PGBD3,0.957943683802635,608.0,19508.0
SHLD3,0.9575303539137174,393.0,19285.0
MIR889,0.9574786876776027,716.0,19607.0
OR14A2,0.9573753552053733,262.0,19151.0
PDNP1,0.9572720227331439,697.0,19584.0
MIR26B,0.9571170240247998,707.0,19591.0
C9ORF62,0.9570653577886851,103.0,18986.0
PMS2P1,0.9568070266081116,574.0,19452.0
MIR496,0.9567553603719969,760.0,19637.0
MIR15A,0.9567036941358822,650.0,19526.0
MIR923,0.9566520278997676,829.0,19704.0
MIR409,0.9564970291914234,720.0,19592.0
MIR324,0.9564970291914234,714.0,19586.0
KCNQ1OT1,0.9562128648927926,61.0,18927.5
MIR412,0.9560320330663911,729.0,19592.0
IL12A-AS1,0.9560320330663911,142.0,19005.0
MIR497,0.9556703694135882,733.0,19589.0
MIR936,0.9554637044691294,796.0,19648.0
MIR220B,0.9554120382330147,809.0,19660.0
RFX1,0.9553087057607853,50.0,18899.0
CCDC191,0.9551020408163265,127.0,18972.0
OR2M5,0.9550503745802118,8.0,18852.0
MIR424,0.9549987083440972,746.0,19589.0
CCDC166,0.9549987083440972,99.0,18942.0
MIRLET7C,0.9547403771635237,688.0,19526.0
MIR659,0.9546370446912943,814.0,19650.0
MIR522,0.9545853784551795,772.0,19607.0
MIR323A,0.9544820459829502,774.0,19607.0
ATXN8OS,0.954327047274606,169.0,18999.0
ATXN8,0.954327047274606,170.0,19000.0
MIR302F,0.9542753810384913,859.0,19688.0
MIR617,0.9542237148023767,810.0,19638.0
MIRLET7E,0.9533453887884268,715.0,19526.0
FAM221B,0.953293722552312,255.0,19065.0
LINC01565,0.9531387238439679,818.0,19625.0
GBA3,0.952777060191165,749.0,19549.0
KRTAP22-1,0.9525703952467063,75.0,18871.0
DAZ3,0.9523637303022475,650.0,19442.0
C5ORF49,0.9521570653577887,57.0,18845.0
DAZ4,0.9521570653577887,648.0,19436.0
OR51A4,0.952105399121674,189.0,18976.0
MKRN3-AS1,0.9520537328855593,638.0,19424.0
PWRN1,0.9520020666494445,640.0,19425.0
SNORD115-1,0.9518987341772152,639.0,19422.0
PWAR1,0.9517954017049858,642.0,19423.0
MOXD2P,0.9517437354688711,699.0,19479.0
CST13P,0.9514854042882976,962.0,19737.0
OR8J3,0.9514337380521829,250.0,19024.0
MT-TC,0.9513045724618961,473.0,19244.5
DAZ2,0.9512787393438388,647.0,19418.0
MIR548H3,0.9512787393438388,961.0,19732.0
MIR192,0.9512270731077241,405.0,19175.0
STMND1,0.9511754068716094,19.0,18788.0
C11ORF16,0.9511754068716094,148.0,18917.0
MIR590,0.9511237406354947,824.0,19592.0
MIR569,0.9511237406354947,869.0,19637.0
CBLIF,0.9510204081632653,58.0,18824.0
LCE6A,0.9509687419271506,86.0,18851.0
MIRLET7B,0.9507620769826918,765.0,19526.0
MIR548C,0.9507104107465771,832.0,19592.0
CDRT15L2,0.9507104107465771,370.0,19130.0
CT47B1,0.950555412038233,28.0,18785.0
MIR27B,0.9503487470937743,854.0,19607.0
TRBC2,0.9502970808576595,757.0,19509.0
SNORD118,0.9501937483854301,122.0,18872.0
FXYD6-FXYD2,0.950038749677086,629.0,19376.0
MIR454,0.9499870834409714,861.0,19607.0
SLURP2,0.9498837509687419,845.0,19589.0
MIR320A,0.9498320847326273,846.0,19589.0
MT-TV,0.9497804184965125,474.0,19216.0
MYADML,0.9496770860242831,786.0,19526.0
LINC00475,0.9495737535520538,967.0,19705.0
MIR298,0.949522087315939,897.0,19634.0
MIR606,0.949522087315939,872.0,19609.0
CLLU1-AS1,0.9493154223714803,105.0,18838.0
MIR301B,0.9493154223714803,874.0,19607.0
MIR223,0.9492120898992509,374.0,19105.0
MIR338,0.9492120898992509,858.0,19589.0
KRTAP19-8,0.9491604236631361,107.0,18837.0
IGKC,0.9491604236631361,290.0,19020.0
MIR200A,0.9490570911909068,798.0,19526.0
SPATA31E1,0.9490570911909068,49.0,18777.0
C4ORF36,0.9490570911909068,11.0,18739.0
MIR607,0.949005424954792,910.0,19637.0
KRTAP20-1,0.9489020924825626,120.0,18845.0
SRRM5,0.948850426246448,19.0,18743.0
H19,0.9486954275381039,122.0,18843.0
OR2A25,0.9486437613019891,342.0,19062.0
KRTAP20-4,0.948488762593645,146.0,18863.0
C7ORF77,0.9482820976491863,498.0,19211.0
OR13C3,0.9481787651769569,310.0,19021.0
CKLF-CMTM1,0.9481270989408421,93.0,18803.0
KRTAP19-4,0.9480754327047275,123.0,18832.0
MIR562,0.9480754327047275,943.0,19652.0
CCDC96,0.9478687677602686,50.0,18755.0
KRTAP20-3,0.9478687677602686,141.0,18846.0
MT-RNR2,0.9477137690519246,502.0,19204.0
MIR561,0.9476621028158099,891.0,19592.0
MIR651,0.9476104365796951,912.0,19612.0
KRTAP25-1,0.9475587703435805,147.0,18846.0
CFL1P1,0.9475071041074657,966.0,19664.0
C20ORF197,0.9475071041074657,133.0,18831.0
IGBP1P1,0.9475071041074657,963.0,19661.0
FAM231C,0.9474037716352364,206.0,18902.0
IPW,0.9473521053991216,637.0,19332.0
MIR200B,0.9473521053991216,831.0,19526.0
FAM231BP,0.9472487729268922,207.0,18900.0
AD5,0.9472487729268922,636.0,19329.0
CDRT15P3,0.9472487729268922,23.0,18716.0
KRTAP22-2,0.9471454404546629,145.0,18836.0
KRTAP21-3,0.9467321105657452,151.0,18834.0
CLDN34,0.9465771118574012,219.0,18899.0
MIR422A,0.9465254456212865,942.0,19621.0
C16ORF97,0.9463187806768277,221.0,18896.0
MIR376A1,0.946267114440713,918.0,19592.0
MIR19A,0.9462154482045982,853.0,19526.0
TMEM233,0.9461637819684836,178.0,18850.0
LINC02881,0.9460604494962542,201.0,18871.0
C2ORF72,0.9460087832601395,59.0,18728.0
C4ORF51,0.9459054507879101,343.0,19010.0
ESRG,0.9459054507879101,1051.0,19718.0
LNX1-AS1,0.9458021183156807,1052.0,19717.0
KRTAP19-6,0.9456987858434514,148.0,18811.0
MIR27A,0.9455954533712219,862.0,19523.0
ERVK-24,0.9455954533712219,152.0,18813.0
MIR568,0.9454404546628778,934.0,19592.0
MIR585,0.9453371221906484,1043.0,19699.0
OR2L5,0.9452854559545337,386.0,19041.0
MIR432,0.9451304572461896,957.0,19609.0
KRTAP20-2,0.9449754585378455,198.0,18847.0
KRTAP6-3,0.9448721260656161,190.0,18837.0
RBMY1A1,0.9448204598295015,652.0,19298.0
VWFP1,0.9446137948850426,1095.0,19737.0
MIR489,0.9446137948850426,996.0,19638.0
KRTAP19-1,0.9446137948850426,125.0,18767.0
GLOD5,0.944562128648928,255.0,18896.0
KRTAP6-2,0.9442521312322397,181.0,18816.0
TMEM268,0.944200464996125,124.0,18758.0
MIR575,0.9441487987600103,1011.0,19644.0
KRTAP29-1,0.9440971325238956,89.0,18721.0
CBSL,0.944045466287781,706.0,19337.0
PMS2P7,0.944045466287781,1010.0,19641.0
MIR197,0.944045466287781,974.0,19605.0
MIR545,0.9438904675794368,964.0,19592.0
KRTAP19-7,0.9437871351072075,155.0,18781.0
MIR1471,0.9435804701627486,1102.0,19724.0
SELENOT,0.9435804701627486,312.0,18934.0
MIR92B,0.9434771376905192,987.0,19607.0
MIR130B,0.9434771376905192,972.0,19592.0
C1ORF105,0.9434771376905192,100.0,18720.0
PMS2P4,0.9434254714544046,1013.0,19632.0
TTC6,0.9433738052182898,1050.0,19668.0
KRTAP21-2,0.9433221389821751,174.0,18791.0
MRLN,0.9432704727460605,617.0,19233.0
SNORD116-1,0.9432188065099457,641.0,19256.0
MIR330,0.9432188065099457,971.0,19586.0
MIR4720,0.9432188065099457,1117.0,19732.0
ZNF619,0.9431671402738311,215.0,18829.0
LINC00474,0.9431671402738311,965.0,19579.0
MIR191,0.9431154740377163,901.0,19514.0
CXORF66,0.9431154740377163,39.0,18652.0
TSPY1,0.9430638078016017,651.0,19263.0
MTRNR2L12,0.9430638078016017,198.0,18810.0
OR5T2,0.943012141565487,92.0,18703.0
SMLR1,0.9429604753293722,341.0,18951.0
MIR376B,0.9429604753293722,979.0,19589.0
HOTAIR,0.9428054766210282,690.0,19297.0
MIR559,0.9428054766210282,1002.0,19609.0
TRBC1,0.9427538103849135,728.0,19334.0
C16ORF78,0.9424438129682252,42.0,18642.0
MIR425,0.9423921467321106,316.0,18915.0
CLDN25,0.9422888142598812,42.0,18639.0
PRSS2,0.9422371480237665,387.0,18983.0
MIR130A,0.9421854817876518,997.0,19592.0
MIR220C,0.9421338155515371,1051.0,19645.0
LCE1C,0.9418754843709636,46.0,18635.0
MIR542,0.9417721518987342,1020.0,19607.0
IQCF6,0.9416688194265048,63.0,18648.0
KRTAP6-1,0.9416688194265048,115.0,18700.0
MIR34B,0.9416171531903901,938.0,19522.0
MIR539,0.9415138207181607,1010.0,19592.0
C20ORF173,0.9411521570653578,657.0,19232.0
MIR922,0.9411004908292431,1033.0,19607.0
C12ORF76,0.9411004908292431,180.0,18754.0
C5ORF66,0.9409971583570137,303.0,18875.0
MIR637,0.940945492120899,1073.0,19644.0
KRTAP23-1,0.9408938258847843,144.0,18714.0
MIR148B,0.9407388271764402,1035.0,19602.0
FAM183BP,0.9406871609403255,238.0,18804.0
MIR574,0.9404804959958667,1047.0,19609.0
OR6S1,0.9403254972875226,412.0,18971.0
MAJIN,0.9403254972875226,29.0,18588.0
OR2A12,0.9402221648152932,20.0,18577.0
MIR141,0.9401704985791786,970.0,19526.0
MIR202,0.9396538362180316,933.0,19479.0
OR2AG2,0.9396538362180316,545.0,19091.0
OR1N1,0.9396021699819168,392.0,18937.0
KRTAP7-1,0.9394471712735727,93.0,18635.0
MIR619,0.9393955050374581,1114.0,19655.0
OR5AK2,0.9393955050374581,41.0,18582.0
MIR184,0.9393438388013433,277.0,18817.0
OBSCN-AS1,0.9392921725652287,367.0,18906.0
KRTAP13-2,0.9391371738568846,139.0,18675.0
C11ORF86,0.9391371738568846,309.0,18845.0
OR52D1,0.9390855076207698,41.0,18576.0
PRR27,0.9389821751485404,17.0,18550.0
PDPK2P,0.9389821751485404,924.0,19457.0
MIR148A,0.9389821751485404,1070.0,19603.0
MIR500A,0.9385688452596228,1119.0,19644.0
MIR892A,0.9381038491345906,1136.0,19652.0
PMS2P2,0.9380521828984758,1011.0,19526.0
MIR200C,0.9380521828984758,863.0,19378.0
PMS2P5,0.9380005166623612,1012.0,19526.0
OR11H4,0.9378971841901318,196.0,18708.0
OR51S1,0.937845517954017,178.0,18689.0
KRTAP13-3,0.9377421854817877,82.0,18591.0
CCER2,0.9375871867734435,196.0,18702.0
OR4X2,0.9375355205373288,11.0,18516.0
MIR146A,0.9375355205373288,464.0,18969.0
NPIPB9,0.9373805218289848,233.0,18735.0
NUTM2D,0.9372255231206407,231.0,18730.0
TRAC,0.9371996900025833,742.0,19240.5
WFDC11,0.9371738568845259,194.0,18692.0
OR8B12,0.9370705244122965,704.0,19200.0
MIR18A,0.9370188581761819,1031.0,19526.0
MIR518E,0.9369671919400672,1166.0,19660.0
MIR766,0.9368638594678378,1100.0,19592.0
MIR363,0.9367605269956084,1032.0,19522.0
FRA16E,0.9366055282872643,463.0,18950.0
MIR885,0.9366055282872643,1120.0,19607.0
MIR635,0.9365538620511495,1174.0,19660.0
FAM24A,0.9365021958150349,82.0,18567.0
OR10Q1,0.9363471971066908,120.0,18602.0
OR6C70,0.9362438646344614,450.0,18930.0
OR5D13,0.9360888659261173,296.0,18773.0
LSMEM2,0.9354688710927409,136.0,18601.0
KRTAP4-16,0.9352105399121674,649.0,19109.0
SPRR2F,0.9350038749677086,93.0,18549.0
PI4KAP1,0.9346938775510204,1099.0,19549.0
KRTAP13-4,0.934590545078791,132.0,18580.0
IGFL2,0.934590545078791,41.0,18489.0
MT-TE,0.9345130457246189,652.0,19098.5
C6ORF226,0.9344872126065616,84.0,18530.0
C14ORF178,0.9343838801343323,73.0,18517.0
CLDN24,0.9343322138982175,67.0,18510.0
LCE2C,0.934073882717644,149.0,18587.0
MIR564,0.9339188840092999,1253.0,19688.0
MIR583,0.9338155515370705,1176.0,19609.0
PRR25,0.9338155515370705,405.0,18838.0
SMIM19,0.9338155515370705,150.0,18583.0
GUCY2GP,0.9337638853009558,959.0,19391.0
POM121L1P,0.9334538878842676,252.0,18678.0
MIR520D,0.9334538878842676,1068.0,19494.0
KRTAP21-1,0.9334022216481529,186.0,18611.0
CALHM5,0.9333505554120383,202.0,18626.0
LINC02499,0.9333505554120383,1314.0,19738.0
PROSER2,0.9332988891759235,166.0,18589.0
C5ORF52,0.9332988891759235,144.0,18567.0
LINC00359,0.9331438904675794,1314.0,19734.0
OR2V2,0.93304055799535,168.0,18586.0
LINC00626,0.93304055799535,1316.0,19734.0
C1ORF53,0.93304055799535,260.0,18678.0
DDX3Y,0.93304055799535,646.0,19064.0
FAM71F2,0.9329372255231206,189.0,18605.0
MIR384,0.9328855592870059,1216.0,19631.0
MIR361,0.9327822268147765,1194.0,19607.0
MIR520F,0.9327822268147765,1179.0,19592.0
OR5H14,0.9326272281064324,257.0,18667.0
MIR186,0.9325755618703178,1195.0,19604.0
SH2D7,0.932368896925859,471.0,18876.0
RD3L,0.9323172306897443,143.0,18547.0
MIR18B,0.932007233273056,1128.0,19526.0
USP9Y,0.9319039008008266,602.0,18998.0
MIR203A,0.9316972358563679,845.0,19237.0
TTC23L,0.9315422371480238,236.0,18625.0
KRTAP24-1,0.9315422371480238,74.0,18463.0
STPG3,0.931335572203565,290.0,18675.0
MIR367,0.931335572203565,1204.0,19589.0
KRTAP5-5,0.9310772410229915,65.0,18445.0
SPATA31A1,0.9309739085507621,292.0,18670.0
OR5F1,0.9309222423146474,25.0,18402.0
NPIPA2,0.9309222423146474,455.0,18832.0
OR14K1,0.9308705760785326,550.0,18926.0
MIR198,0.930818909842418,1217.0,19592.0
IQCF2,0.9307672436063033,121.0,18495.0
PRR21,0.9306122448979591,26.0,18397.0
MIR518B,0.930302247481271,1308.0,19673.0
SPATA31A3,0.9301472487729269,161.0,18523.0
FBXL21P,0.9299922500645827,545.0,18904.0
MIR625,0.9299405838284681,1286.0,19644.0
RAD51AP2,0.9299405838284681,123.0,18481.0
PAGE3,0.9298889175923534,145.0,18502.0
LCE1E,0.9298889175923534,206.0,18563.0
MIR143,0.9298372513562387,679.0,19035.0
OR2M7,0.9298372513562387,222.0,18578.0
MIR25,0.929785585120124,1168.0,19523.0
PMS2P3,0.9295789201756652,1009.0,19360.0
ATG9B,0.9295272539395505,735.0,19085.0
LINC02873,0.9294239214673211,424.0,18772.0
DNAH10OS,0.9293205889950917,188.0,18534.0
MIR524,0.929268922758977,1255.0,19600.0
LRRN4CL,0.929268922758977,84.0,18429.0
FAM170B,0.9288555928700594,91.0,18428.0
MIR499A,0.9288555928700594,804.0,19141.0
DUXAP9,0.9287005941617154,1339.0,19673.0
SNORA20,0.9284939292172565,1382.0,19712.0
KRTAP5-4,0.9284939292172565,220.0,18550.0
KRTAP4-4,0.9283905967450271,119.0,18447.0
KRTAP5-11,0.9283389305089125,162.0,18489.0
HSP90AA5P,0.9283389305089125,790.0,19117.0
NPIPB8,0.9282872642727977,289.0,18615.0
DEFB116,0.928235598036683,432.0,18757.0
ERVK-10,0.9281839318005684,403.0,18727.0
ST13P4,0.9281322655644536,1243.0,19566.0
C10ORF113,0.9280289330922242,200.0,18521.0
MIR181A2,0.9280289330922242,1271.0,19592.0
OR11H6,0.9279772668561095,291.0,18611.0
C1ORF158,0.9279772668561095,87.0,18407.0
FAM215A,0.9279772668561095,506.0,18826.0
MIR383,0.9279256006199949,1270.0,19589.0
OR8D4,0.9279256006199949,111.0,18430.0
KRTAP16-1,0.9278739343838801,100.0,18418.0
OR2M4,0.9278739343838801,134.0,18452.0
USP17L21,0.9277706019116507,722.0,19038.0
OR4B1,0.927718935675536,5.0,18320.0
USP17L20,0.9276156032033066,724.0,19037.0
USP17L15,0.9275122707310772,721.0,19032.0
NUTM2E,0.9275122707310772,534.0,18845.0
MIR3160-1,0.9273056057866185,1409.0,19716.0
HLA-H,0.9273056057866185,842.0,19149.0
SLC35G3,0.9271506070782743,132.0,18436.0
MIR181C,0.9271506070782743,1288.0,19592.0
BMNCR,0.9268922758977008,1169.0,19468.0
SLC35G4,0.9268406096615861,151.0,18449.0
MIR340,0.9267372771893567,1292.0,19588.0
NLGN4Y,0.9266856109532421,1133.0,19428.0
MIR136,0.9266339447171273,1313.0,19607.0
USP17L19,0.9266339447171273,723.0,19017.0
MIR423,0.9263756135365538,1314.0,19603.0
SLC22A18AS,0.9263239473004392,92.0,18380.0
WFDC9,0.9262206148282097,204.0,18490.0
MIR301A,0.9261689485920951,949.0,19234.0
MIR655,0.926013949883751,1307.0,19589.0
KRTAP9-6,0.9259622836476362,79.0,18360.0
LCE1D,0.9258072849392922,130.0,18408.0
C8ORF48,0.9257556187031775,83.0,18360.0
MIR613,0.9257039524670628,1331.0,19607.0
PRR29,0.9256006199948333,162.0,18436.0
KRTAP10-2,0.9256006199948333,88.0,18362.0
MIR433,0.9253939550503746,1339.0,19609.0
C16ORF90,0.9253422888142598,23.0,18292.0
STRIT1,0.9252906225781452,1141.0,19409.0
C12ORF71,0.9251872901059158,299.0,18565.0
MIRLET7A3,0.9250322913975717,1315.0,19578.0
OR10G8,0.9250322913975717,651.0,18914.0
MIR543,0.924980625161457,1330.0,19592.0
MIR940,0.9248772926892276,1332.0,19592.0
MIR595,0.9248772926892276,1385.0,19645.0
KRTAP12-4,0.9248256264531128,113.0,18372.0
SHISAL2B,0.9247222939808835,149.0,18406.0
STPG4,0.9246706277447688,77.0,18333.0
FAM47A,0.9246189615086541,21.0,18276.0
OR1N2,0.9245156290364247,82.0,18335.0
C16ORF91,0.9245156290364247,63.0,18316.0
LRCOL1,0.92446396280031,587.0,18839.0
MIR30D,0.924308964091966,1343.0,19592.0
OR1D5,0.9241539653836218,149.0,18395.0
PYDC2,0.9241022991475071,3.0,18248.0
MIR181D,0.9239989666752777,859.0,19102.0
LDLRAD2,0.9238956342030483,330.0,18571.0
SMIM13,0.9238956342030483,211.0,18452.0
KRTAP2-2,0.9238439679669336,61.0,18301.0
MIR944,0.9237923017308189,1347.0,19586.0
MIR92A1,0.9237923017308189,700.0,18939.0
MIR541,0.9237406354947042,1407.0,19645.0
MIR451A,0.9237406354947042,616.0,18854.0
TMEM238,0.9235856367863601,724.0,18959.0
DEFB115,0.9235339705502454,502.0,18736.0
MTLN,0.9234823043141307,32.0,18265.0
MIR137,0.9234306380780161,1360.0,19592.0
TDGF1P3,0.9233273056057866,1158.0,19388.0
ARL14EPL,0.9232239731335572,322.0,18550.0
LINC01588,0.9232239731335572,1410.0,19638.0
KRTAP9-3,0.9231723068974426,75.0,18302.0
C19ORF44,0.9231206406613278,231.0,18457.0
GCOM1,0.9231206406613278,27.0,18253.0
LCE2D,0.9231206406613278,87.0,18313.0
MIR152,0.9230689744252131,1269.0,19494.0
FAM25A,0.9230173081890984,185.0,18409.0
MIR208A,0.9230173081890984,1142.0,19366.0
KRTAP10-12,0.9229139757168691,103.0,18325.0
USP17L23,0.9228623094807543,812.0,19033.0
OR7C2,0.9228623094807543,210.0,18431.0
MIR576,0.9228106432446397,1369.0,19589.0
SSX2B,0.9226556445362956,758.0,18975.0
MIR32,0.9226556445362956,1371.0,19588.0
USP17L10,0.9226556445362956,725.0,18942.0
IZUMO3,0.9226039783001808,145.0,18361.0
TMEM78,0.9225523120640662,1022.0,19237.0
OR4F15,0.9224489795918367,613.0,18826.0
C2ORF27A,0.9223973133557221,141.0,18353.0
MIR23B,0.9221906484112632,1358.0,19566.0
OR1L6,0.9221906484112632,360.0,18568.0
MIR144,0.9221389821751486,670.0,18877.0
C15ORF54,0.9221389821751486,294.0,18501.0
OR5L2,0.9220873159390338,414.0,18620.0
C16ORF71,0.9220873159390338,24.0,18230.0
ANXA2P3,0.9220873159390338,1116.0,19322.0
KRTAP4-6,0.9220356497029192,104.0,18309.0
OR1K1,0.9220356497029192,349.0,18554.0
OR6K6,0.9219839834668044,453.0,18657.0
C3ORF62,0.9217256522862309,83.0,18282.0
C12ORF60,0.9216223198140016,53.0,18250.0
SMIM21,0.9216223198140016,171.0,18368.0
MIR10B,0.9216223198140016,1329.0,19526.0
KRTAP9-8,0.9215189873417722,84.0,18279.0
LCE2A,0.9215189873417722,267.0,18462.0
C10ORF53,0.9213123223973133,267.0,18458.0
GAGE12H,0.9212606561611987,453.0,18643.0
C1ORF189,0.9211573236889693,271.0,18459.0
OR6B3,0.9211056574528546,243.0,18430.0
SMIM11A,0.9210023249806252,129.0,18314.0
FAM227B,0.9210023249806252,659.0,18844.0
KRTAP19-3,0.9209506587445104,158.0,18342.0
OR10G4,0.9209506587445104,670.0,18854.0
OR14A16,0.9208989925083958,70.0,18253.0
PRR23C,0.9207439938000517,268.0,18448.0
LRRC72,0.9205889950917076,568.0,18745.0
GAGE10,0.9205889950917076,295.0,18472.0
SPATA8,0.9205373288555929,275.0,18451.0
SMCO1,0.9202789976750194,103.0,18274.0
NPIPB4,0.9202789976750194,334.0,18505.0
SPDYE4,0.9200206664944459,453.0,18619.0
OR4D5,0.9199690002583312,243.0,18408.0
OR51G1,0.9199173340222164,208.0,18372.0
OR51M1,0.9199173340222164,96.0,18260.0
OR4F5,0.919659002841643,736.0,18895.0
MT-TS2,0.919659002841643,131.0,18290.0
MST1P2,0.9196073366055283,1547.0,19705.0
MIR107,0.9195040041332989,1370.0,19526.0
C12ORF74,0.9194523378971842,598.0,18753.0
CYSRT1,0.9194523378971842,236.0,18391.0
MIR375,0.9191940067166107,1090.0,19240.0
KRTAP19-5,0.9188840092999225,183.0,18327.0
TEX44,0.9188323430638078,353.0,18496.0
C1ORF167,0.9187290105915784,348.0,18489.0
MIR23A,0.9186773443554637,1404.0,19544.0
