disease	diseasegroup	#diseasegenes	network	knowledgecategory	percgenesinnetwork	trainingtype	auprg	auc	Type	ntop	#tp	recall	precision	f1	matthews_corrcoef	baccuracy
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	1024	1024.0	14.85	0.874	0.015	0.029	0.109	0.91
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	127	127.0	7.55	0.444	0.059	0.105	0.161	0.719
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	16	16.0	2.75	0.162	0.172	0.167	0.166	0.581
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	2	2.0	0.3	0.018	0.15	0.032	0.051	0.509
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	256	256.0	9.95	0.585	0.039	0.073	0.148	0.786
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	32	32.0	3.8	0.224	0.119	0.155	0.162	0.611
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	4	4.0	0.85	0.05	0.212	0.081	0.103	0.525
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	512	512.0	12.45	0.732	0.024	0.047	0.13	0.853
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	63	63.0	5.9	0.347	0.094	0.147	0.179	0.672
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	7	7.0	1.4	0.082	0.2	0.117	0.128	0.541
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	n	58.0	5.6	0.329	0.097	0.149	0.177	0.663
Acute_rhabdomyolysis	NA	58	coexpressionSTRING	COEXPRESSION	100.0	Random	0.898	0.978	t	17.0	2.75	0.162	0.162	0.162	0.161	0.58
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	1	1.0	0.0	0.0	0.0	0.0	-0.002	0.5
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	1024	1024.0	1.8	0.106	0.002	0.003	-0.054	0.34
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	127	127.0	0.0	0.0	0.0	0.0	-0.02	0.473
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	16	16.0	0.0	0.0	0.0	0.0	-0.007	0.497
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	2	2.0	0.0	0.0	0.0	0.0	-0.002	0.5
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	256	256.0	0.25	0.015	0.001	0.002	-0.025	0.454
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	32	32.0	0.0	0.0	0.0	0.0	-0.01	0.493
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	4	4.0	0.0	0.0	0.0	0.0	-0.003	0.499
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	512	512.0	0.45	0.026	0.001	0.002	-0.038	0.406
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	63	63.0	0.0	0.0	0.0	0.0	-0.014	0.487
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	7	7.0	0.0	0.0	0.0	0.0	-0.005	0.499
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	n	58.0	0.0	0.0	0.0	0.0	-0.013	0.488
Acute_rhabdomyolysis	NA	58	DGIdb	DRUGSHARING	17.241	Random	-18.121	0.113	t	17.0	0.0	0.0	0.0	0.0	-0.007	0.496
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	1	1.0	0.2	0.012	0.2	0.022	0.048	0.506
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	1024	1024.0	8.4	0.494	0.008	0.016	0.05	0.683
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	127	127.0	6.05	0.356	0.048	0.084	0.125	0.67
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	16	16.0	1.6	0.094	0.1	0.097	0.095	0.546
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	2	2.0	0.25	0.015	0.125	0.026	0.042	0.507
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	256	256.0	6.35	0.374	0.025	0.047	0.089	0.671
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	32	32.0	2.45	0.144	0.077	0.1	0.102	0.57
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	4	4.0	0.3	0.018	0.075	0.029	0.035	0.509
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	512	512.0	7.45	0.438	0.015	0.028	0.07	0.687
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	63	63.0	5.3	0.312	0.084	0.132	0.159	0.652
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	7	7.0	0.4	0.024	0.057	0.033	0.035	0.511
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	n	58.0	4.9	0.288	0.084	0.131	0.153	0.641
Acute_rhabdomyolysis	NA	58	Reactome	PATHWAYS	72.414	Random	0.784	0.575	t	17.0	1.65	0.097	0.097	0.097	0.095	0.548
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	1	1.0	0.25	0.015	0.25	0.028	0.06	0.507
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	1024	1024.0	9.6	0.565	0.009	0.018	0.066	0.745
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	127	127.0	6.4	0.376	0.05	0.089	0.135	0.684
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	16	16.0	1.05	0.062	0.066	0.064	0.063	0.53
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	2	2.0	0.7	0.041	0.35	0.074	0.12	0.521
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	256	256.0	7.95	0.468	0.031	0.058	0.117	0.725
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	32	32.0	3.1	0.182	0.097	0.127	0.131	0.59
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	4	4.0	0.7	0.041	0.175	0.067	0.084	0.52
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	512	512.0	8.4	0.494	0.016	0.032	0.085	0.729
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	63	63.0	4.0	0.235	0.063	0.1	0.12	0.615
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	7	7.0	0.8	0.047	0.114	0.067	0.073	0.523
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	n	58.0	3.95	0.232	0.068	0.105	0.124	0.614
Acute_rhabdomyolysis	NA	58	ReactomeFI	PATHWAYS	91.379	Random	0.83	0.787	t	17.0	1.05	0.062	0.062	0.062	0.061	0.53
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	1	1.0	0.7	0.041	0.7	0.078	0.17	0.521
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	1024	1024.0	9.5	0.559	0.009	0.018	0.063	0.733
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	127	127.0	5.3	0.312	0.042	0.074	0.111	0.65
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	16	16.0	1.4	0.082	0.088	0.085	0.084	0.541
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	2	2.0	0.7	0.041	0.35	0.074	0.12	0.521
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	256	256.0	7.7	0.453	0.03	0.056	0.112	0.715
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	32	32.0	2.0	0.118	0.062	0.082	0.084	0.557
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	4	4.0	0.95	0.056	0.238	0.09	0.115	0.528
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	512	512.0	8.05	0.474	0.016	0.03	0.08	0.714
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	63	63.0	3.55	0.209	0.056	0.089	0.106	0.602
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	7	7.0	1.05	0.062	0.15	0.088	0.095	0.531
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	n	58.0	3.15	0.185	0.054	0.084	0.098	0.59
Acute_rhabdomyolysis	NA	58	databaseSTRING	PATHWAYS	87.931	Random	0.808	0.714	t	17.0	1.4	0.082	0.082	0.082	0.081	0.54
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	1	1.0	0.0	0.0	0.0	0.0	-0.0	0.5
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	1024	1024.0	4.3	0.253	0.004	0.008	0.018	0.567
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	127	127.0	2.4	0.141	0.019	0.033	0.047	0.563
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	16	16.0	1.1	0.065	0.069	0.067	0.065	0.531
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	2	2.0	0.0	0.0	0.0	0.0	-0.001	0.5
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	256	256.0	2.65	0.156	0.01	0.019	0.033	0.563
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	32	32.0	1.25	0.074	0.039	0.051	0.051	0.535
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	4	4.0	0.0	0.0	0.0	0.0	-0.001	0.5
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	512	512.0	3.3	0.194	0.006	0.012	0.025	0.568
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	63	63.0	2.15	0.126	0.034	0.054	0.062	0.56
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	7	7.0	0.15	0.009	0.021	0.012	0.013	0.504
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	n	58.0	2.0	0.118	0.034	0.053	0.06	0.556
Acute_rhabdomyolysis	NA	58	molecularFunctionGO	FUNCTION	72.414	Random	0.502	0.466	t	17.0	1.2	0.071	0.071	0.071	0.069	0.534
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	1	1.0	0.6	0.035	0.6	0.067	0.145	0.518
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	1024	1024.0	5.35	0.315	0.005	0.01	0.027	0.598
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	127	127.0	3.55	0.209	0.028	0.049	0.072	0.597
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	16	16.0	1.75	0.103	0.109	0.106	0.104	0.551
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	2	2.0	0.6	0.035	0.3	0.063	0.102	0.518
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	256	256.0	4.15	0.244	0.016	0.03	0.056	0.607
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	32	32.0	2.4	0.141	0.075	0.098	0.1	0.569
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	4	4.0	0.6	0.035	0.15	0.057	0.072	0.517
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	512	512.0	4.8	0.282	0.009	0.018	0.042	0.612
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	63	63.0	3.35	0.197	0.053	0.084	0.099	0.595
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	7	7.0	0.75	0.044	0.107	0.062	0.068	0.522
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	n	58.0	3.15	0.185	0.054	0.084	0.097	0.589
Acute_rhabdomyolysis	NA	58	biologicalProcessGO	FUNCTION	56.897	Random	0.857	0.393	t	17.0	1.8	0.106	0.106	0.106	0.104	0.552
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	1	1.0	0.85	0.05	0.85	0.094	0.205	0.525
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	1024	1024.0	13.45	0.791	0.013	0.026	0.073	0.735
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	127	127.0	8.2	0.482	0.065	0.114	0.166	0.722
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	16	16.0	4.0	0.235	0.25	0.242	0.239	0.616
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	2	2.0	1.5	0.088	0.75	0.158	0.256	0.544
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	256	256.0	9.8	0.576	0.038	0.072	0.134	0.749
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	32	32.0	5.15	0.303	0.161	0.21	0.215	0.647
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	4	4.0	1.85	0.109	0.462	0.176	0.222	0.554
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	512	512.0	13.0	0.765	0.025	0.049	0.12	0.803
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	63	63.0	6.85	0.403	0.109	0.171	0.202	0.693
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	7	7.0	2.4	0.141	0.343	0.2	0.217	0.57
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	n	58.0	6.65	0.391	0.115	0.177	0.204	0.687
Acute_rhabdomyolysis	NA	58	HPO	PHENOTYPE	86.207	Random	0.973	0.796	t	17.0	4.05	0.238	0.238	0.238	0.234	0.617
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	1	1.0	0.65	0.038	0.65	0.072	0.157	0.519
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	1024	1024.0	14.15	0.832	0.014	0.027	0.082	0.764
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	127	127.0	8.95	0.526	0.07	0.124	0.183	0.745
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	16	16.0	3.2	0.188	0.2	0.194	0.19	0.592
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	2	2.0	0.9	0.053	0.45	0.095	0.153	0.526
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	256	256.0	11.45	0.674	0.045	0.084	0.16	0.8
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	32	32.0	5.45	0.321	0.17	0.222	0.228	0.656
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	4	4.0	1.4	0.082	0.35	0.133	0.168	0.541
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	512	512.0	12.85	0.756	0.025	0.049	0.12	0.803
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	63	63.0	7.4	0.435	0.117	0.185	0.219	0.709
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	7	7.0	1.9	0.112	0.271	0.158	0.172	0.555
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	n	58.0	7.2	0.424	0.124	0.192	0.222	0.704
Acute_rhabdomyolysis	NA	58	HPOext	PHENOTYPE	87.931	Random	0.957	0.816	t	17.0	3.45	0.203	0.203	0.203	0.199	0.599
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	1	1.0	0.0	0.0	0.0	0.0	-0.0	0.5
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	1024	1024.0	6.65	0.391	0.006	0.013	0.039	0.641
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	127	127.0	1.15	0.068	0.009	0.016	0.02	0.527
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	16	16.0	0.0	0.0	0.0	0.0	-0.002	0.499
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	2	2.0	0.0	0.0	0.0	0.0	-0.001	0.5
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	256	256.0	3.1	0.182	0.012	0.023	0.041	0.578
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	32	32.0	0.1	0.006	0.003	0.004	0.002	0.501
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	4	4.0	0.0	0.0	0.0	0.0	-0.001	0.5
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	512	512.0	4.6	0.271	0.009	0.017	0.041	0.608
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	63	63.0	0.3	0.018	0.005	0.008	0.006	0.505
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	7	7.0	0.0	0.0	0.0	0.0	-0.001	0.5
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	n	58.0	0.25	0.015	0.004	0.007	0.005	0.504
Acute_rhabdomyolysis	NA	58	MGIphenotypes	MOUSEMODELS	72.414	Random	-2.074	0.546	t	17.0	0.0	0.0	0.0	0.0	-0.002	0.499
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	1	1.0	0.55	0.032	0.55	0.061	0.133	0.516
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	1024	1024.0	15.5	0.912	0.015	0.03	0.114	0.929
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	127	127.0	11.4	0.671	0.09	0.158	0.244	0.832
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	16	16.0	4.9	0.288	0.306	0.297	0.296	0.644
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	2	2.0	1.15	0.068	0.575	0.121	0.197	0.534
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	256	256.0	12.75	0.75	0.05	0.093	0.191	0.869
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	32	32.0	6.3	0.371	0.197	0.257	0.269	0.685
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	4	4.0	2.2	0.129	0.55	0.21	0.267	0.565
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	512	512.0	14.05	0.826	0.027	0.053	0.148	0.9
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	63	63.0	8.75	0.515	0.139	0.219	0.266	0.756
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	7	7.0	3.05	0.179	0.436	0.254	0.279	0.59
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	n	58.0	8.45	0.497	0.146	0.225	0.268	0.747
Acute_rhabdomyolysis	NA	58	textminingSTRING	COCITATION	100.0	Random	0.973	0.975	t	17.0	4.95	0.291	0.291	0.291	0.291	0.645
Acute_rhabdomyolysis	NA	58	DoRothEA	REGULATION	53.448	Random	-7.641	0.29	1	1.0	0.0	0.0	0.0	0.0	-0.0	0.5
Acute_rhabdomyolysis	NA	58	DoRothEA	REGULATION	53.448	Random	-7.641	0.29	1024	1024.0	1.9	0.112	0.002	0.004	-0.0	0.5
